,number_discrepancy,case_discrepancy,space_discrepancy,specials_discrepancy,wordNo_discrepancy,stopWord_discrepancy,spell_discrepancy,lemma_discrepancy,stem_discrepancy,onlySpace_discrepancy,just_specials_discrepancy,s_discrepancy,sLower_discrepancy,count
0,False,False,False,False,False,False,False,False,False,False,False,False,False,5038
1,False,False,False,False,False,False,False,False,True,False,False,False,False,821
2,False,False,False,False,False,False,False,True,False,False,False,False,False,145
3,False,False,False,False,False,False,False,True,True,False,False,False,False,199
4,False,False,False,False,False,False,False,True,True,False,False,True,False,302
5,False,False,False,False,False,False,False,True,True,False,False,True,True,1
6,False,False,False,False,False,False,True,False,False,False,False,False,False,5833
7,False,False,False,False,False,False,True,False,False,True,False,False,False,3
8,False,False,False,False,False,False,True,False,True,False,False,False,False,665
9,False,False,False,False,False,False,True,True,False,False,False,False,False,116
10,False,False,False,False,False,False,True,True,True,False,False,False,False,268
11,False,False,False,False,False,False,True,True,True,False,False,True,False,9
12,False,False,False,False,False,True,False,False,False,False,False,False,False,470
13,False,False,False,False,False,True,False,False,True,False,False,False,False,36
14,False,False,False,False,False,True,False,True,False,False,False,False,False,7
15,False,False,False,False,False,True,False,True,True,False,False,False,False,22
16,False,False,False,False,False,True,True,False,False,False,False,False,False,205
17,False,False,False,False,False,True,True,False,True,False,False,False,False,27
18,False,False,False,False,False,True,True,True,False,False,False,False,False,6
19,False,False,False,False,False,True,True,True,True,False,False,False,False,5
20,False,False,False,False,True,False,False,False,False,False,False,False,False,36
21,False,False,False,False,True,False,False,False,True,False,False,False,False,1
22,False,False,False,False,True,False,False,True,True,False,False,False,False,2
23,False,False,False,False,True,False,True,False,False,False,False,False,False,31
24,False,False,False,False,True,False,True,True,False,False,False,False,False,1
25,False,False,False,False,True,False,True,True,True,False,False,False,False,2
26,False,False,False,False,True,True,False,False,False,False,False,False,False,7
27,False,False,False,False,True,True,False,True,True,False,False,False,False,1
28,False,False,False,False,True,True,True,False,False,False,False,False,False,4
29,False,False,False,True,False,False,False,False,False,False,False,False,False,188
30,False,False,False,True,False,False,False,False,False,False,True,False,False,340
31,False,False,False,True,False,False,False,False,True,False,False,False,False,20
32,False,False,False,True,False,False,False,True,False,False,False,False,False,4
33,False,False,False,True,False,False,False,True,True,False,False,False,False,19
34,False,False,False,True,False,False,False,True,True,False,False,True,False,2
35,False,False,False,True,False,False,False,True,True,False,False,True,True,27
36,False,False,False,True,False,False,True,False,False,False,False,False,False,693
37,False,False,False,True,False,False,True,False,True,False,False,False,False,113
38,False,False,False,True,False,False,True,True,False,False,False,False,False,25
39,False,False,False,True,False,False,True,True,True,False,False,False,False,34
40,False,False,False,True,False,False,True,True,True,False,False,True,True,1
41,False,False,False,True,False,True,False,False,False,False,False,False,False,31
42,False,False,False,True,False,True,False,False,True,False,False,False,False,1
43,False,False,False,True,False,True,False,True,True,False,False,False,False,8
44,False,False,False,True,False,True,True,False,False,False,False,False,False,26
45,False,False,False,True,False,True,True,True,True,False,False,False,False,2
46,False,False,False,True,True,False,False,False,False,False,False,False,False,27
47,False,False,False,True,True,False,False,False,True,False,False,False,False,1
48,False,False,False,True,True,False,False,True,True,False,False,False,False,3
49,False,False,False,True,True,False,True,False,False,False,False,False,False,28
50,False,False,False,True,True,False,True,False,True,False,False,False,False,4
51,False,False,False,True,True,False,True,True,False,False,False,False,False,1
52,False,False,False,True,True,True,False,False,False,False,False,False,False,16
53,False,False,False,True,True,True,False,True,True,False,False,False,False,2
54,False,False,False,True,True,True,True,False,False,False,False,False,False,2
55,False,False,True,False,False,False,False,False,False,False,False,False,False,12
56,False,False,True,False,False,False,False,False,False,True,False,False,False,33
57,False,False,True,False,False,False,False,False,True,False,False,False,False,2
58,False,False,True,False,False,False,True,False,False,False,False,False,False,10
59,False,False,True,False,False,False,True,False,True,False,False,False,False,1
60,False,False,True,False,False,True,False,False,True,False,False,False,False,1
61,False,False,True,False,False,True,True,False,False,False,False,False,False,3
62,False,False,True,False,True,False,False,False,False,False,False,False,False,1705
63,False,False,True,False,True,False,False,False,False,True,False,False,False,20
64,False,False,True,False,True,False,False,False,True,False,False,False,False,120
65,False,False,True,False,True,False,False,True,False,False,False,False,False,142
66,False,False,True,False,True,False,False,True,True,False,False,False,False,93
67,False,False,True,False,True,False,True,False,False,False,False,False,False,1468
68,False,False,True,False,True,False,True,False,False,True,False,False,False,320
69,False,False,True,False,True,False,True,False,True,False,False,False,False,168
70,False,False,True,False,True,False,True,True,False,False,False,False,False,71
71,False,False,True,False,True,False,True,True,True,False,False,False,False,44
72,False,False,True,False,True,True,False,False,False,False,False,False,False,328
73,False,False,True,False,True,True,False,False,False,True,False,False,False,7
74,False,False,True,False,True,True,False,False,True,False,False,False,False,22
75,False,False,True,False,True,True,False,True,False,False,False,False,False,18
76,False,False,True,False,True,True,False,True,True,False,False,False,False,15
77,False,False,True,False,True,True,True,False,False,False,False,False,False,129
78,False,False,True,False,True,True,True,False,False,True,False,False,False,36
79,False,False,True,False,True,True,True,False,True,False,False,False,False,21
80,False,False,True,False,True,True,True,True,False,False,False,False,False,10
81,False,False,True,False,True,True,True,True,True,False,False,False,False,8
82,False,False,True,True,False,False,False,False,False,False,False,False,False,111
83,False,False,True,True,False,False,False,False,True,False,False,False,False,2
84,False,False,True,True,False,False,True,False,False,False,False,False,False,44
85,False,False,True,True,False,False,True,False,True,False,False,False,False,3
86,False,False,True,True,False,False,True,True,True,False,False,True,True,1
87,False,False,True,True,False,True,False,False,False,False,False,False,False,2
88,False,False,True,True,False,True,True,False,False,False,False,False,False,4
89,False,False,True,True,False,True,True,True,False,False,False,False,False,1
90,False,False,True,True,True,False,False,False,False,False,False,False,False,189
91,False,False,True,True,True,False,False,False,True,False,False,False,False,2
92,False,False,True,True,True,False,False,True,False,False,False,False,False,20
93,False,False,True,True,True,False,False,True,True,False,False,False,False,17
94,False,False,True,True,True,False,True,False,False,False,False,False,False,924
95,False,False,True,True,True,False,True,False,True,False,False,False,False,57
96,False,False,True,True,True,False,True,True,False,False,False,False,False,55
97,False,False,True,True,True,False,True,True,True,False,False,False,False,30
98,False,False,True,True,True,True,False,False,False,False,False,False,False,68
99,False,False,True,True,True,True,False,True,True,False,False,False,False,2
100,False,False,True,True,True,True,True,False,False,False,False,False,False,118
101,False,False,True,True,True,True,True,False,True,False,False,False,False,5
102,False,False,True,True,True,True,True,True,True,False,False,False,False,4
103,False,True,False,False,False,False,False,False,False,False,False,False,False,1589
104,False,True,False,False,False,False,False,False,True,False,False,False,False,118
105,False,True,False,False,False,False,False,True,False,False,False,False,False,10
106,False,True,False,False,False,False,False,True,True,False,False,False,False,15
107,False,True,False,False,False,False,False,True,True,False,False,True,True,105
108,False,True,False,False,False,False,True,False,False,False,False,False,False,285
109,False,True,False,False,False,False,True,False,True,False,False,False,False,47
110,False,True,False,False,False,False,True,True,False,False,False,False,False,2
111,False,True,False,False,False,False,True,True,True,False,False,False,False,11
112,False,True,False,False,False,False,True,True,True,False,False,True,True,4
113,False,True,False,False,False,True,False,False,False,False,False,False,False,23
114,False,True,False,False,False,True,True,False,False,False,False,False,False,8
115,False,True,False,False,False,True,True,True,False,False,False,False,False,1
116,False,True,False,False,True,False,False,False,False,False,False,False,False,8
117,False,True,False,False,True,False,True,False,False,False,False,False,False,40
118,False,True,False,False,True,False,True,False,True,False,False,False,False,1
119,False,True,False,False,True,False,True,True,False,False,False,False,False,2
120,False,True,False,True,False,False,False,False,False,False,False,False,False,92
121,False,True,False,True,False,False,False,True,True,False,False,False,False,4
122,False,True,False,True,False,False,False,True,True,False,False,True,True,4
123,False,True,False,True,False,False,True,False,False,False,False,False,False,41
124,False,True,False,True,False,False,True,False,True,False,False,False,False,2
125,False,True,False,True,False,True,True,False,False,False,False,False,False,5
126,False,True,False,True,True,False,True,False,False,False,False,False,False,11
127,False,True,False,True,True,False,True,False,True,False,False,False,False,2
128,False,True,False,True,True,True,False,False,False,False,False,False,False,1
129,False,True,False,True,True,True,True,False,False,False,False,False,False,1
130,False,True,True,False,False,False,False,False,False,False,False,False,False,104
131,False,True,True,False,False,False,False,False,True,False,False,False,False,7
132,False,True,True,False,False,False,False,True,True,False,False,False,False,1
133,False,True,True,False,False,False,False,True,True,False,False,True,True,2
134,False,True,True,False,False,False,True,False,False,False,False,False,False,28
135,False,True,True,False,False,False,True,False,True,False,False,False,False,2
136,False,True,True,False,False,True,False,False,False,False,False,False,False,1
137,False,True,True,False,True,False,False,False,False,False,False,False,False,137
138,False,True,True,False,True,False,False,False,True,False,False,False,False,6
139,False,True,True,False,True,False,False,True,False,False,False,False,False,4
140,False,True,True,False,True,False,False,True,True,False,False,False,False,6
141,False,True,True,False,True,False,True,False,False,False,False,False,False,236
142,False,True,True,False,True,False,True,False,True,False,False,False,False,8
143,False,True,True,False,True,False,True,True,False,False,False,False,False,4
144,False,True,True,False,True,False,True,True,True,False,False,False,False,2
145,False,True,True,False,True,True,False,False,False,False,False,False,False,29
146,False,True,True,False,True,True,False,False,True,False,False,False,False,11
147,False,True,True,False,True,True,False,True,False,False,False,False,False,1
148,False,True,True,False,True,True,False,True,True,False,False,False,False,2
149,False,True,True,False,True,True,True,False,False,False,False,False,False,22
150,False,True,True,False,True,True,True,False,True,False,False,False,False,5
151,False,True,True,True,False,False,False,False,False,False,False,False,False,8
152,False,True,True,True,False,False,False,True,True,False,False,True,True,1
153,False,True,True,True,False,False,True,False,False,False,False,False,False,1
154,False,True,True,True,True,False,False,False,False,False,False,False,False,17
155,False,True,True,True,True,False,False,True,False,False,False,False,False,1
156,False,True,True,True,True,False,True,False,False,False,False,False,False,67
157,False,True,True,True,True,False,True,False,True,False,False,False,False,1
158,False,True,True,True,True,False,True,True,False,False,False,False,False,4
159,False,True,True,True,True,True,False,False,False,False,False,False,False,6
160,False,True,True,True,True,True,True,False,False,False,False,False,False,6
161,True,False,False,False,False,False,False,False,False,False,False,False,False,5354
162,True,False,False,False,False,False,False,False,True,False,False,False,False,10
163,True,False,False,False,False,False,False,True,False,False,False,False,False,35
164,True,False,False,False,False,False,False,True,True,False,False,False,False,4
165,True,False,False,False,False,False,False,True,True,False,False,True,False,53
166,True,False,False,False,False,False,True,False,False,False,False,False,False,1550
167,True,False,False,False,False,False,True,False,True,False,False,False,False,90
168,True,False,False,False,False,False,True,True,False,False,False,False,False,21
169,True,False,False,False,False,False,True,True,True,False,False,False,False,76
170,True,False,False,False,False,True,False,False,False,False,False,False,False,277
171,True,False,False,False,False,True,False,False,True,False,False,False,False,2
172,True,False,False,False,False,True,False,True,True,False,False,False,False,3
173,True,False,False,False,False,True,True,False,False,False,False,False,False,123
174,True,False,False,False,False,True,True,False,True,False,False,False,False,3
175,True,False,False,False,False,True,True,True,False,False,False,False,False,2
176,True,False,False,False,False,True,True,True,True,False,False,False,False,2
177,True,False,False,False,True,False,False,False,False,False,False,False,False,208
178,True,False,False,False,True,False,False,False,True,False,False,False,False,2
179,True,False,False,False,True,False,False,True,False,False,False,False,False,2
180,True,False,False,False,True,False,False,True,True,False,False,False,False,5
181,True,False,False,False,True,False,True,False,False,False,False,False,False,82
182,True,False,False,False,True,False,True,True,False,False,False,False,False,2
183,True,False,False,False,True,False,True,True,True,False,False,False,False,2
184,True,False,False,False,True,True,False,False,False,False,False,False,False,131
185,True,False,False,False,True,True,False,True,True,False,False,False,False,1
186,True,False,False,False,True,True,True,False,False,False,False,False,False,3
187,True,False,False,True,False,False,False,False,False,False,False,False,False,97
188,True,False,False,True,False,False,False,True,False,False,False,False,False,4
189,True,False,False,True,False,False,False,True,True,False,False,True,True,4
190,True,False,False,True,False,False,True,False,False,False,False,False,False,196
191,True,False,False,True,False,False,True,False,True,False,False,False,False,2
192,True,False,False,True,False,False,True,True,False,False,False,False,False,3
193,True,False,False,True,False,False,True,True,True,False,False,False,False,5
194,True,False,False,True,False,True,False,False,False,False,False,False,False,14
195,True,False,False,True,False,True,True,False,False,False,False,False,False,13
196,True,False,False,True,True,False,False,False,False,False,False,False,False,21
197,True,False,False,True,True,False,True,False,False,False,False,False,False,23
198,True,False,False,True,True,False,True,False,True,False,False,False,False,1
199,True,False,False,True,True,False,True,True,False,False,False,False,False,1
200,True,False,False,True,True,True,False,False,False,False,False,False,False,5
201,True,False,True,False,False,False,False,False,False,False,False,False,False,243
202,True,False,True,False,False,False,False,False,True,False,False,False,False,5
203,True,False,True,False,False,False,False,True,True,False,False,False,False,3
204,True,False,True,False,False,False,False,True,True,False,False,True,False,28
205,True,False,True,False,False,False,True,False,False,False,False,False,False,126
206,True,False,True,False,False,False,True,False,True,False,False,False,False,16
207,True,False,True,False,False,False,True,True,True,False,False,False,False,1
208,True,False,True,False,False,False,True,True,True,False,False,True,False,2
209,True,False,True,False,False,True,False,False,False,False,False,False,False,8
210,True,False,True,False,False,True,True,False,False,False,False,False,False,4
211,True,False,True,False,True,False,False,False,False,False,False,False,False,161
212,True,False,True,False,True,False,False,False,True,False,False,False,False,4
213,True,False,True,False,True,False,False,True,False,False,False,False,False,5
214,True,False,True,False,True,False,False,True,True,False,False,False,False,4
215,True,False,True,False,True,False,True,False,False,False,False,False,False,208
216,True,False,True,False,True,False,True,False,True,False,False,False,False,21
217,True,False,True,False,True,False,True,True,False,False,False,False,False,10
218,True,False,True,False,True,False,True,True,True,False,False,False,False,8
219,True,False,True,False,True,True,False,False,False,False,False,False,False,35
220,True,False,True,False,True,True,False,True,False,False,False,False,False,1
221,True,False,True,False,True,True,False,True,True,False,False,False,False,2
222,True,False,True,False,True,True,True,False,False,False,False,False,False,56
223,True,False,True,False,True,True,True,False,True,False,False,False,False,2
224,True,False,True,False,True,True,True,True,False,False,False,False,False,2
225,True,False,True,True,False,False,False,False,False,False,False,False,False,54
226,True,False,True,True,False,False,True,False,False,False,False,False,False,41
227,True,False,True,True,False,False,True,False,True,False,False,False,False,2
228,True,False,True,True,False,False,True,True,True,False,False,False,False,1
229,True,False,True,True,False,True,False,False,False,False,False,False,False,2
230,True,False,True,True,True,False,False,False,False,False,False,False,False,36
231,True,False,True,True,True,False,False,True,False,False,False,False,False,1
232,True,False,True,True,True,False,True,False,False,False,False,False,False,289
233,True,False,True,True,True,False,True,False,True,False,False,False,False,10
234,True,False,True,True,True,False,True,True,False,False,False,False,False,9
235,True,False,True,True,True,False,True,True,True,False,False,False,False,7
236,True,False,True,True,True,True,False,False,False,False,False,False,False,9
237,True,False,True,True,True,True,True,False,False,False,False,False,False,32
238,True,False,True,True,True,True,True,False,True,False,False,False,False,2
239,True,False,True,True,True,True,True,True,False,False,False,False,False,2
240,True,True,False,False,False,False,False,False,False,False,False,False,False,46
241,True,True,False,False,False,False,False,False,True,False,False,False,False,4
242,True,True,False,False,False,False,True,False,False,False,False,False,False,25
243,True,True,False,False,False,False,True,False,True,False,False,False,False,1
244,True,True,False,False,False,True,False,False,False,False,False,False,False,1
245,True,True,False,False,True,False,False,False,False,False,False,False,False,4
246,True,True,False,False,True,False,True,False,False,False,False,False,False,2
247,True,True,False,True,False,False,False,False,False,False,False,False,False,2
248,True,True,False,True,False,False,True,False,False,False,False,False,False,35
249,True,True,False,True,False,False,True,False,True,False,False,False,False,1
250,True,True,False,True,False,True,False,False,False,False,False,False,False,2
251,True,True,False,True,False,True,True,False,False,False,False,False,False,1
252,True,True,False,True,True,False,True,False,False,False,False,False,False,2
253,True,True,True,False,False,False,False,False,False,False,False,False,False,55
254,True,True,True,False,False,False,False,False,True,False,False,False,False,10
255,True,True,True,False,False,False,False,True,True,False,False,False,False,1
256,True,True,True,False,False,False,False,True,True,False,False,True,True,3
257,True,True,True,False,False,False,True,False,False,False,False,False,False,21
258,True,True,True,False,True,False,False,False,False,False,False,False,False,9
259,True,True,True,False,True,False,True,False,False,False,False,False,False,26
260,True,True,True,False,True,False,True,False,True,False,False,False,False,1
261,True,True,True,False,True,True,False,False,False,False,False,False,False,17
262,True,True,True,False,True,True,True,False,True,False,False,False,False,1
263,True,True,True,True,False,False,False,False,False,False,False,False,False,1
264,True,True,True,True,False,False,True,False,False,False,False,False,False,1
265,True,True,True,True,True,False,False,False,False,False,False,False,False,1
266,True,True,True,True,True,False,True,False,False,False,False,False,False,19
267,True,True,True,True,True,True,False,False,False,False,False,False,False,5
268,True,True,True,True,True,True,True,False,False,False,False,False,False,9
